Folder,New name,Original name,Duplicates removed,Duplicate file names
CT,CT ABDOMEN  WITHOUT (S).txt,CT ABDOMEN  WITHOUT (S).txt,0,
CT,CT ABDOMEN (S).txt,CT ABDOMEN (S).txt,0,
CT,CT ABDOMEN WO.txt,ABDOMEN WO.txt,1,ABDOMEN WO_4.txt
CT,CT ABDOMEN WO_2.txt,ABDOMEN WO_2.txt,1,ABDOMEN WO_3.txt
CT,CT ABDOMEN WO_5.txt,ABDOMEN WO_5.txt,0,
CT,CT ABDOMEN WO_6.txt,ABDOMEN WO_6.txt,0,
CT,CT ABDOMEN.txt,CT ABDOMEN.txt,1,CT ABDOMEN ONLY.txt
CT,CT ABDOMEN_18.txt,ABDOMEN_18.txt,0,
CT,CT AbdPelvis with.txt,AbdPelvis with.txt,0,
CT,CT AbdPelvis with_2.txt,AbdPelvis with_2.txt,0,
CT,CT AbdPelvis with_3.txt,AbdPelvis with_3.txt,0,
CT,CT AbdPelvis.txt,AbdPelvis.txt,1,AbdPelvis_2.txt
CT,CT AbdPelvis_3.txt,AbdPelvis_3.txt,0,
CT,CT AbdPelvis_4.txt,AbdPelvis_4.txt,0,
CT,CT BONE DENSITY CT.txt,BONE DENSITY CT.txt,0,
CT,CT BONE DENSITY_2.txt,BONE DENSITY_2.txt,1,BONE DENSITY_4.txt
CT,CT CALCIUM(S).txt,CALCIUM(S).txt,0,
CT,CT CALCIUM.txt,CALCIUM.txt,0,
CT,CT Cervical (S).txt,CT Cervical (S).txt,0,
CT,CT CERVICAL_12.txt,CERVICAL_12.txt,0,
CT,CT CERVICAL_15.txt,CERVICAL_15.txt,0,
CT,CT CERVICAL_4.txt,CERVICAL_4.txt,0,
CT,CT CERVICAL_6.txt,CERVICAL_6.txt,1,CERVICAL_8.txt
CT,CT CERVICAL_7.txt,CERVICAL_7.txt,0,
CT,CT CHEST (S).txt,CT CHEST (S).txt,0,
CT,CT CHEST AND ABDOMEN.txt,CT CHEST AND ABDOMEN.txt,0,
CT,CT CHEST HIRES_3.txt,CHEST HIRES_3.txt,0,
CT,CT CHEST LOW-DOSE.txt,CHEST LOW-DOSE.txt,1,CHEST LOW-DOSE_2.txt
CT,CT CHEST LOW-DOSE_3.txt,CHEST LOW-DOSE_3.txt,0,
CT,CT CHEST W_CON.txt,CHEST W_CON.txt,0,
CT,CT CHEST W_CON_2.txt,CHEST W_CON_2.txt,0,
CT,CT CHEST W_CON_3.txt,CHEST W_CON_3.txt,1,CHEST W_CON_4.txt
CT,CT CHEST W_CON_5.txt,CHEST W_CON_5.txt,1,CHEST W_CON_6.txt
CT,CT CHEST WITH (S).txt,CT CHEST WITH (S).txt,0,
CT,CT CHEST WO.txt,CHEST WO.txt,4,CHEST HIRES.txt; CHEST HIRES_2.txt; CHEST HIRES_4.txt; CHEST WO_4.txt
CT,CT CHEST WO_2.txt,CHEST WO_2.txt,0,
CT,CT CHEST WO_3.txt,CHEST WO_3.txt,0,
CT,CT CHEST WO_5.txt,CHEST WO_5.txt,0,
CT,CT enterography.txt,CT enterography.txt,0,
CT,CT EXTREMITY (m).txt,EXTREMITY (m).txt,2,EXTREMITY_2.txt; Extremity (M)_2.txt
CT,CT EXTREMITY.txt,EXTREMITY.txt,2,EXTREMITY_4.txt; EXTREMITY_6.txt
CT,CT EXTREMITY_5.txt,EXTREMITY_5.txt,0,
CT,CT HEAD (S).txt,CT HEAD (S).txt,0,
CT,CT HEAD.txt,HEAD.txt,0,
CT,CT HEAD_2.txt,HEAD_2.txt,2,HEAD_4.txt; HEAD_6.txt
CT,CT HEAD_3.txt,HEAD_3.txt,0,
CT,CT HEAD_5.txt,HEAD_5.txt,0,
CT,CT HEAD_7.txt,HEAD_7.txt,0,
CT,CT HIP.txt,HIP.txt,2,HIP_7.txt; HIP_9.txt
CT,CT HIRES (S).txt,CT HIRES (S).txt,0,
CT,CT LOW DOSE (S).txt,CT LOW DOSE (S).txt,0,
CT,CT LUMBAR.txt,LUMBAR.txt,1,LUMBAR_8.txt
CT,CT LUMBAR_16.txt,LUMBAR_16.txt,0,
CT,CT LUMBAR_3.txt,LUMBAR_3.txt,1,LUMBAR_13.txt
CT,CT LUMBAR_6.txt,LUMBAR_6.txt,0,
CT,CT MAX(S).txt,MAX(S).txt,0,
CT,CT MAX.txt,MAX.txt,2,MAX_3.txt; MAX_5.txt
CT,CT MAX_2.txt,MAX_2.txt,2,MAX_4.txt; MAX_6.txt
CT,CT NECK (s).txt,CT NECK (s).txt,1,CT NECK (s)_3.txt
CT,CT NECK (s)_2.txt,CT NECK (s)_2.txt,1,CT NECK (s)_5.txt
CT,CT NECK.txt,CT NECK.txt,0,
CT,CT NECK_2 v2.txt,NECK_2.txt,2,NECK_7.txt; NECK_8.txt
CT,CT NECK_2.txt,CT NECK_2.txt,1,CT NECK (s)_4.txt
CT,CT ORBITS.txt,ORBITS.txt,1,ORBITS_4.txt
CT,CT ORBITS_6.txt,ORBITS_6.txt,0,
CT,CT PAN SCAN v2.txt,PAN SCAN.txt,2,PAN SCAN_4.txt; PAN SCAN_7.txt
CT,CT PAN SCAN.txt,CT PAN SCAN.txt,0,
CT,CT PAN SCAN_2.txt,PAN SCAN_2.txt,0,
CT,CT PAN SCAN_3.txt,PAN SCAN_3.txt,0,
CT,CT PAN SCAN_5.txt,PAN SCAN_5.txt,0,
CT,CT PAN SCAN_6.txt,PAN SCAN_6.txt,0,
CT,CT PE (s).txt,CT PE (s).txt,0,
CT,CT PELVIS (S).txt,PELVIS (S).txt,0,
CT,CT PELVIS.txt,CT PELVIS.txt,1,PELVIS_15.txt
CT,CT PELVIS_2.txt,PELVIS_2.txt,2,PELVIS_11.txt; PELVIS_20.txt
CT,CT SINUS.txt,SINUS.txt,1,SINUS_3.txt
CT,CT SINUS_4.txt,SINUS_4.txt,0,
CT,CT temple.txt,CT temple.txt,0,
CT,CT temporal bone.txt,CT temporal bone.txt,0,
CT,CT TEMPORAL.txt,CT TEMPORAL.txt,2,CT TEMPORAL_2.txt; CT TEMPORAL_3.txt
CT,CT THORACIC_2.txt,THORACIC_2.txt,4,THORACIC_11.txt; THORACIC_15.txt; THORACIC_17.txt; THORACIC_7.txt
CT,CT THORACIC_6.txt,THORACIC_6.txt,0,
CT,CT UROGRAM v2.txt,UROGRAM.txt,0,
CT,CT UROGRAM.txt,CT UROGRAM.txt,0,
CT,CTA  AbdPel.txt,CTA  AbdPel.txt,3,CTA  AbdPel_2.txt; CTA  AbdPel_3.txt; CTA  AbdPel_5.txt
CT,CTA  AbdPel_4.txt,CTA  AbdPel_4.txt,0,
CT,CTA Abdomen and pelvis.txt,CTA Abdomen and pelvis.txt,0,
CT,CTA AP (S).txt,CTA AP (S).txt,0,
CT,CTA AP (S)_2.txt,CTA AP (S)_2.txt,0,
CT,CTA Chest and Abdomen.txt,CTA Chest and Abdomen.txt,0,
CT,CTA Chest and Abdomen_2.txt,CTA Chest and Abdomen_2.txt,0,
CT,CTA HEAD & NECK.txt,CTA HEAD & NECK.txt,1,CTA HEAD & NECK_3.txt
CT,CTA HEAD & NECK_2.txt,CTA HEAD & NECK_2.txt,2,CTA HEAD & NECK_4.txt; CTA HEAD & NECK_5.txt
CT,CTA HEAD & NECK_6.txt,CTA HEAD & NECK_6.txt,0,
CT,CTA HEAD.txt,CTA HEAD.txt,2,CTA HEAD_2.txt; CTA HEAD_3.txt
CT,CTA NECK (m).txt,CTA NECK (m).txt,1,CTA NECK_2.txt
CT,CTA NECK (S).txt,CTA NECK (S).txt,0,
CT,CTA NECK.txt,CTA NECK.txt,2,CTA NECK_3.txt; CTA NECK_4.txt
CT,CTA PAN SCAN.txt,CTA PAN SCAN.txt,2,CTA PAN SCAN_2.txt; CTA PAN SCAN_4.txt
CT,CTA PAN SCAN_3.txt,CTA PAN SCAN_3.txt,0,
CT,CTA PE (m).txt,CTA PE (m).txt,1,CTA PE_4.txt
CT,CTA PE.txt,CTA PE.txt,2,CTA PE_3.txt; CTA PE_5.txt
CT,CTA PE_2.txt,CTA PE_2.txt,0,
CT,CTA PE_6.txt,CTA PE_6.txt,0,
CT,CTA Runoff (s).txt,CTA Runoff (s).txt,0,
